subject,subcount,error
5,1,"HTTPSConnectionPool(host='farm5.staticflickr.com', port=443): Max retries exceeded with url: /4108/5185055338_1dec873bf3_b.jpg (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLZeroReturnError(6, 'TLS/SSL connection has been closed (EOF) (_ssl.c:1149)'))))"
5,2,"HTTPSConnectionPool(host='farm6.staticflickr.com', port=443): Max retries exceeded with url: /5143/5693754914_661a07e85b_b.jpg (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLZeroReturnError(6, 'TLS/SSL connection has been closed (EOF) (_ssl.c:1149)'))))"
5,3,"HTTPSConnectionPool(host='farm4.staticflickr.com', port=443): Max retries exceeded with url: /3666/12590745114_cd07a26439_b.jpg (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLZeroReturnError(6, 'TLS/SSL connection has been closed (EOF) (_ssl.c:1149)'))))"
6,1,"HTTPSConnectionPool(host='farm5.staticflickr.com', port=443): Max retries exceeded with url: /4108/5185055338_1dec873bf3_b.jpg (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLZeroReturnError(6, 'TLS/SSL connection has been closed (EOF) (_ssl.c:1149)'))))"
6,2,"HTTPSConnectionPool(host='farm6.staticflickr.com', port=443): Max retries exceeded with url: /5286/5259330568_e281fe18e7_b.jpg (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLZeroReturnError(6, 'TLS/SSL connection has been closed (EOF) (_ssl.c:1149)'))))"
6,3,"HTTPSConnectionPool(host='farm6.staticflickr.com', port=443): Max retries exceeded with url: /5481/14302408814_ce8793fcf9_b.jpg (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLZeroReturnError(6, 'TLS/SSL connection has been closed (EOF) (_ssl.c:1149)'))))"
7,1,"HTTPSConnectionPool(host='farm5.staticflickr.com', port=443): Max retries exceeded with url: /4108/5185055338_1dec873bf3_b.jpg (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLZeroReturnError(6, 'TLS/SSL connection has been closed (EOF) (_ssl.c:1149)'))))"
7,2,"HTTPSConnectionPool(host='farm8.staticflickr.com', port=443): Max retries exceeded with url: /7356/13595854235_956936288c_b.jpg (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLZeroReturnError(6, 'TLS/SSL connection has been closed (EOF) (_ssl.c:1149)'))))"
7,3,"HTTPSConnectionPool(host='farm6.staticflickr.com', port=443): Max retries exceeded with url: /5462/14137960034_ab0d7f7168_b.jpg (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLZeroReturnError(6, 'TLS/SSL connection has been closed (EOF) (_ssl.c:1149)'))))"
8,1,"HTTPSConnectionPool(host='farm5.staticflickr.com', port=443): Max retries exceeded with url: /4108/5185055338_1dec873bf3_b.jpg (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLZeroReturnError(6, 'TLS/SSL connection has been closed (EOF) (_ssl.c:1149)'))))"
8,2,"HTTPSConnectionPool(host='farm8.staticflickr.com', port=443): Max retries exceeded with url: /7180/13238813053_90aaa31356_b.jpg (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLZeroReturnError(6, 'TLS/SSL connection has been closed (EOF) (_ssl.c:1149)'))))"
